Date : 2024-07-08 11:35:20
Directory : /home/ankit/Projects/zenChat
Total : 87 files,  13962 codes, 392 comments, 794 blanks, all 15148 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/ankit/Projects/zenChat/client/src/assets/index.js                       | JavaScript         |         65 |          1 |          4 |         70 |
| /home/ankit/Projects/zenChat/client/src/assets/svgs/logo.svg                  | XML                |          1 |          0 |          0 |          1 |
| /home/ankit/Projects/zenChat/client/src/components/AddChat.jsx                | JavaScript JSX     |        274 |         10 |         16 |        300 |
| /home/ankit/Projects/zenChat/client/src/components/ChatLeftSidebar.jsx        | JavaScript JSX     |         23 |          0 |          3 |         26 |
| /home/ankit/Projects/zenChat/client/src/components/ChatsSection.jsx           | JavaScript JSX     |        281 |         27 |         17 |        325 |
| /home/ankit/Projects/zenChat/client/src/components/DesktopOnly.jsx            | JavaScript JSX     |          8 |          0 |          2 |         10 |
| /home/ankit/Projects/zenChat/client/src/components/IncomingCall.jsx           | JavaScript JSX     |         48 |          0 |          3 |         51 |
| /home/ankit/Projects/zenChat/client/src/components/Loading.jsx                | JavaScript JSX     |         36 |          0 |          3 |         39 |
| /home/ankit/Projects/zenChat/client/src/components/PopupAlert.jsx             | JavaScript JSX     |         26 |          0 |          5 |         31 |
| /home/ankit/Projects/zenChat/client/src/components/PrivateRoute.jsx           | JavaScript JSX     |         10 |          2 |          4 |         16 |
| /home/ankit/Projects/zenChat/client/src/components/ProfileSidebar.jsx         | JavaScript JSX     |         62 |          0 |          8 |         70 |
| /home/ankit/Projects/zenChat/client/src/components/PublicRoute.jsx            | JavaScript JSX     |         10 |          2 |          4 |         16 |
| /home/ankit/Projects/zenChat/client/src/components/RecentChatsSidebar.jsx     | JavaScript JSX     |        100 |          1 |         10 |        111 |
| /home/ankit/Projects/zenChat/client/src/components/RecentUserChatCard.jsx     | JavaScript JSX     |         70 |          4 |          4 |         78 |
