"filename", "language", "YAML", "JavaScript", "Markdown", "Ignore", "JSON", "Docker", "HTML", "JavaScript JSX", "CSS", "XML", "TypeScript", "JSON with Comments", "Properties", "comment", "blank", "total"
"/home/ankit/Projects/zenChat/backend/src/types/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ankit/Projects/zenChat/backend/src/validators/groupChat.validator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"/home/ankit/Projects/zenChat/backend/src/validators/messages.validator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/home/ankit/Projects/zenChat/backend/src/validators/mongoId.validator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"/home/ankit/Projects/zenChat/backend/src/validators/user.validators.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"/home/ankit/Projects/zenChat/backend/src/validators/validate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 6, 30
"/home/ankit/Projects/zenChat/backend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 24, 2, 50
"/home/ankit/Projects/zenChat/client/.eslintrc.cjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/home/ankit/Projects/zenChat/client/Dockerfile", "Docker", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 19, 32
"/home/ankit/Projects/zenChat/client/README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
